City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,holualoa,19.6228,-155.9522,21.91,96,75,4.63,US,1683974048
372,dickson,36.077,-87.3878,17.11,99,100,1.54,US,1683974105
373,laguna,38.421,-121.4238,17.47,81,0,2.06,US,1683974223
374,raja,8.4596,25.678,40.98,20,58,1.94,SS,1683974225
375,fort scott,37.8398,-94.7083,18.65,94,91,3.66,US,1683974226
376,magadan,59.5667,150.8,-0.04,87,99,2.01,RU,1683974228
377,sokhumi,43.0033,41.0153,13.84,98,100,3.88,GE,1683974229
378,belyy yar,53.6039,91.3903,10.94,32,0,8.0,RU,1683974230
379,teguise,29.0605,-13.564,21.12,53,20,11.32,ES,1683974232
380,marion,39.7684,-86.1555,20.32,95,100,2.57,US,1683974233
381,salair,54.2312,85.7972,8.71,30,23,4.17,RU,1683974234
382,ostersund,63.1792,14.6357,13.25,35,40,2.06,SE,1683974236
383,gaalkacyo,6.7697,47.4308,36.3,32,17,6.58,SO,1683974238
384,nicoya,10.1483,-85.452,25.5,84,10,0.89,CR,1683974239
385,nizhniy odes,63.6445,54.856,3.02,97,100,3.34,RU,1683974240
386,ayr,55.4627,-4.6339,16.95,87,75,3.09,GB,1683974241
387,huetamo de nunez,18.5833,-100.8833,27.4,65,66,1.2,MX,1683974243
388,brigham city,41.5102,-112.0155,15.02,52,75,6.69,US,1683974241
389,itaituba,-4.2761,-55.9836,23.69,97,64,0.37,BR,1683974245
390,la passe,45.5549,-0.8967,15.13,74,40,3.47,FR,1683974247
391,yilan,24.757,121.753,22.98,99,100,1.26,TW,1683974249
392,prineville,44.2999,-120.8345,14.51,82,0,0.0,US,1683974250
393,berdigestyakh,62.0989,126.6992,4.48,73,60,1.4,RU,1683973996
394,pirdop,42.7,24.1833,15.46,63,66,0.76,BG,1683974252
395,cockburn town,21.4612,-71.1419,26.86,72,100,8.01,TC,1683974253
396,lock haven,41.137,-77.4469,18.27,89,100,1.33,US,1683974153
397,kiunga,-6.1219,141.2906,24.33,99,73,1.48,PG,1683974256
398,alik ghund,30.4896,67.5226,24.38,15,42,10.34,PK,1683974257
399,talara,-4.5772,-81.2719,24.17,82,74,5.83,PE,1683974258
400,slave lake,55.2834,-114.769,9.99,71,100,3.09,CA,1683974259
401,n'zeto,-7.2312,12.8666,29.29,72,100,3.16,AO,1683974260
402,saint-joseph,-21.3667,55.6167,28.21,79,28,3.34,RE,1683974261
403,saint-francois,46.4154,3.9054,13.71,88,100,5.14,FR,1683974263
404,greenville,35.6127,-77.3663,16.02,96,0,0.0,US,1683974194
405,kendari,-3.945,122.4989,25.31,83,66,1.41,ID,1683974265
406,lospalos,-8.5186,127.0025,20.6,75,100,2.55,TL,1683974266
407,danville,36.586,-79.395,19.37,83,20,1.54,US,1683974149
408,lysyye gory,51.5506,44.8414,19.5,49,16,4.53,RU,1683974268
409,suoyarvi,62.0833,32.35,17.91,35,24,1.98,RU,1683973982
410,san antonio de pale,-1.4014,5.6325,28.38,77,100,4.57,GQ,1683974270
411,lycksele,64.5954,18.6735,16.93,31,2,3.09,SE,1683974272
412,boda,4.3189,17.4695,35.15,41,36,0.46,CF,1683974273
413,vegreville,53.5001,-112.0518,12.17,81,28,3.09,CA,1683973983
414,jabor,5.921,169.6434,28.52,79,99,7.18,MH,1683974275
415,suomussalmi,64.8869,28.9078,9.17,85,97,1.25,FI,1683974276
416,chernyshevskiy,63.0128,112.4714,4.47,76,89,2.39,RU,1683974277
417,robertson,36.5167,-86.8667,17.64,99,100,0.0,US,1683974278
418,yinchuan,38.4681,106.2731,27.15,7,37,5.53,CN,1683974279
419,prince george,53.9166,-122.753,9.58,81,0,2.06,CA,1683974281
420,hilo,19.7297,-155.09,21.85,89,100,2.06,US,1683974240
421,veraval,20.9,70.3667,32.36,58,0,7.63,IN,1683974283
422,nova sintra,14.8667,-24.7167,20.08,81,4,7.27,CV,1683974284
423,inongo,-1.95,18.2667,26.03,71,98,0.5,CD,1683974285
424,dunedin,-45.8742,170.5036,10.45,81,99,2.24,NZ,1683974177
425,ceeldheer,3.8488,47.1806,32.61,56,15,10.65,SO,1683974288
426,mezhdurechenskiy,59.6,65.9333,16.31,22,36,3.69,RU,1683974289
427,elmali,36.7358,29.9177,22.6,30,0,2.1,TR,1683974290
428,isangel,-19.55,169.2667,24.99,76,100,8.07,VU,1683974291
429,kloulklubed,7.0419,134.2556,29.35,76,66,5.01,PW,1683974293
430,champerico,14.3,-91.9167,26.98,78,49,2.44,GT,1683974295
431,timimoun,29.2639,0.231,36.21,7,0,4.12,DZ,1683974296
432,ceerigaabo,10.6162,47.368,23.65,50,61,3.41,SO,1683974297
433,harnai,30.1005,67.9374,36.82,9,65,7.16,PK,1683974298
434,lubuklinggau,-3.3,102.8667,27.38,77,71,0.89,ID,1683974300
435,springbok,-29.6643,17.8865,16.62,37,0,8.57,ZA,1683974302
436,boyolangu,-8.1181,111.8935,24.27,82,85,3.91,ID,1683974303
437,goroka,-6.0834,145.3873,17.83,97,97,0.71,PG,1683974304
438,goundi,9.3627,17.366,37.87,30,96,1.67,TD,1683974305
439,datca,36.7378,27.6842,19.18,67,0,9.07,TR,1683974306
440,aguililla,18.7333,-102.7333,20.11,79,91,0.78,MX,1683974308
441,raduzhny,62.0961,77.475,6.15,32,16,3.68,RU,1683974310
442,sinabang,2.4803,96.3801,29.12,76,72,2.84,ID,1683974311
